direction,setups,tp1_same_hour_pct,tp2_same_hour_pct,tp1_within_2h_pct,tp2_within_2h_pct
bull,74,68.91891891891892,100.0,71.62162162162163,100.0
bear,67,62.68656716417911,100.0,67.16417910447761,100.0
